,athlete_id,athlete_name,year,school_name,rushing_yards,rushing_attempts,Rnd,Pick,Tm,Pos,Age,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Unnamed: 28
0,530478,T.Sirk,2017,East Carolina,34.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,534280,W.Ball,2017,Akron,67.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,536119,B.El-Bakri,2017,BYU,20.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,545221,P.Boehme,2017,Duke,15.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
4,545228,D.Wilson,2017,Bowling Green,30.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,545382,J.Lanning,2017,Iowa State,115.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,545417,M.Cozart,2017,Boise State,84.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,545423,A.Wadley,2017,Iowa,1139.0,258.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,545472,C.Rhoda,2017,Minnesota,25.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,545512,K.Hicks,2017,TCU,641.0,145.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,545520,T.Johnson,2017,Oregon State,115.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,
11,545624,J.Barrett,2017,Ohio State,798.0,167.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,545681,S.Tucker,2017,Middle Tennessee,22.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
13,545683,B.Stockstill,2017,Middle Tennessee,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,
14,545762,S.Badie,2017,Tulane,24.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
15,545910,L.Woodside,2017,Toledo,16.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
16,545944,B.Cox,2017,Central Arkansas,41.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
17,546068,K.Foster,2017,Illinois,266.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,
18,546102,D.Hoggins,2017,Louisiana,30.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
19,546267,N.Stevens,2017,Colorado State,19.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
20,546288,R.Finley,2017,NC State,173.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,
