,athlete_id,athlete_name,year,school_name,rushing_yards,rushing_attempts,Rnd,Pick,Tm,Pos,Age,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,year_drafted
1795,514508,A.Abdullah,2014,Nebraska,1752.0,272.0,2.0,54.0,DET,RB,22.0,2.0,11.0,11.0,52.0,0.0,0.0,0.0,0.0,0.0,334.0,1287.0,6.0,61.0,460.0,4.0,1.0,,,Nebraska,2015
1793,514508,A.Abdullah,2012,Nebraska,1208.0,235.0,2.0,54.0,DET,RB,22.0,2.0,11.0,11.0,52.0,0.0,0.0,0.0,0.0,0.0,334.0,1287.0,6.0,61.0,460.0,4.0,1.0,,,Nebraska,2015
1792,514508,A.Abdullah,2011,Nebraska,155.0,39.0,2.0,54.0,DET,RB,22.0,2.0,11.0,11.0,52.0,0.0,0.0,0.0,0.0,0.0,334.0,1287.0,6.0,61.0,460.0,4.0,1.0,,,Nebraska,2015
1794,514508,A.Abdullah,2013,Nebraska,1666.0,277.0,2.0,54.0,DET,RB,22.0,2.0,11.0,11.0,52.0,0.0,0.0,0.0,0.0,0.0,334.0,1287.0,6.0,61.0,460.0,4.0,1.0,,,Nebraska,2015
57,169504,A.Allen,2009,Akron,35.0,17.0,7.0,225.0,BAL,RB,23.0,0.0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,19.0,69.0,1.0,2.0,12.0,0.0,9.0,,,Georgia Tech,2011
58,169504,A.Allen,2009,Akron,35.0,17.0,7.0,242.0,NYJ,DB,23.0,2.0,10.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1.0,2.5,South Carolina,2012
59,169504,A.Allen,2010,Akron,107.0,23.0,7.0,225.0,BAL,RB,23.0,0.0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,19.0,69.0,1.0,2.0,12.0,0.0,9.0,,,Georgia Tech,2011
60,169504,A.Allen,2010,Akron,107.0,23.0,7.0,242.0,NYJ,DB,23.0,2.0,10.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1.0,2.5,South Carolina,2012
61,191010,A.Allen,2009,Georgia Tech,636.0,69.0,7.0,225.0,BAL,RB,23.0,0.0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,19.0,69.0,1.0,2.0,12.0,0.0,9.0,,,Georgia Tech,2011
62,191010,A.Allen,2009,Georgia Tech,636.0,69.0,7.0,242.0,NYJ,DB,23.0,2.0,10.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1.0,2.5,South Carolina,2012
63,191010,A.Allen,2010,Georgia Tech,1480.0,257.0,7.0,225.0,BAL,RB,23.0,0.0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,19.0,69.0,1.0,2.0,12.0,0.0,9.0,,,Georgia Tech,2011
64,191010,A.Allen,2010,Georgia Tech,1480.0,257.0,7.0,242.0,NYJ,DB,23.0,2.0,10.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1.0,2.5,South Carolina,2012
65,389142,A.Allen,2009,Notre Dame,352.0,65.0,7.0,225.0,BAL,RB,23.0,0.0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,19.0,69.0,1.0,2.0,12.0,0.0,9.0,,,Georgia Tech,2011
67,389142,A.Allen,2010,Notre Dame,343.0,65.0,7.0,225.0,BAL,RB,23.0,0.0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,19.0,69.0,1.0,2.0,12.0,0.0,9.0,,,Georgia Tech,2011
